"term","prop_connected","prop_connected_std","wilcox_effect_size","wilcox_p_value","wilcox_adj_p_value","fold_change","log_fold_change","de_label","plot_label","de_color","label_color","nudge_x","nudge_y"
"conflict",0.164544319600499,2.8679728792676,365826.619864713,0.248944926478821,77.919761987871,1.48032345979346,0.679676185289481,NA,NA,"#BDBDBD","#BDBDBD",0,1
"consciousness",0.0870927318295739,1.31253353787491,104678.963459681,0.183083989956997,57.30528885654,0.601174296262133,0.396771925063214,"consciousness",NA,"#F8766D","darkred",-3,1
"consolidation",0.20855614973262,3.17415778460334,36330.9485935723,0.203650464816804,63.7425954876595,1.39963955402147,0.701632195687919,NA,NA,"#BDBDBD","#BDBDBD",0,1
"construction",0.0821537311041077,1.45103917180512,1815349.52483272,0.292634725553591,91.594669098274,0.382715002969604,0.333226199566423,"construction",NA,"#F8766D","darkred",-3,1
"context",0.116194158075601,1.75524021987848,404875.733663556,0.0677903201744616,21.2183702146065,0.46396414512102,0.319583613131934,"context",NA,"#F8766D","darkred",-3,1
"control",0.115609880315763,1.67956691670348,1052019.95408984,0.00179013854547403,0.560313364733371,0.68497560363043,0.394318443156658,"control",NA,"#F8766D","darkred",-3,1
"coordination",0.146680426556588,2.6411567200601,1375578.57777968,0.000390836005230174,0.122331669637044,1.4110704937942,0.713088651936018,NA,NA,"#BDBDBD","#BDBDBD",0,1
"covert",0.134726469588855,1.82908657161553,462615.423402565,0.0413746937591197,12.9502791466045,1.05291140870653,0.419569943921427,"covert",NA,"#F8766D","darkred",-3,1
"cue",0.135265700483092,1.58137008860333,59552.4416774747,0.167100983347879,52.3026077878861,1.56872097749755,0.465810412224504,"cue",NA,"#F8766D","darkred",-3,1
"decision",0.0742429359450636,1.33637284701114,1814434.14884127,0.599032967780378,187.497318915258,0.374159402727456,0.307428473675292,"decision",NA,"#F8766D","darkred",-3,1
"decode",0.104729524619027,1.76566386175405,1616358.76489896,0.00907911116933474,2.84176179600177,0.481437359794323,0.370416976735927,"decode",NA,"#F8766D","darkred",-3,1
"default",0.111448642490982,2.47817332724478,2638596.6359488,2.43813992993894e-12,7.63137798070889e-10,0.563903405286632,0.515629612140432,"default",NA,"#00A9FF","darkblue",2,1
"delay",0.233766233766234,3.39529392383515,11010.0484166089,0.612867330984658,191.827474598198,2.63256394260761,0.728153024405125,NA,NA,"#BDBDBD","#BDBDBD",0,1
"demand",0.11037780966045,1.76025192988023,2087571.48254753,0.309483819317706,96.868435446442,0.846853654714262,0.507749131971366,NA,NA,"#BDBDBD","#BDBDBD",0,1
"dementia",0.108446482101922,3.29793291132198,469604.594215438,0.00979952854678471,3.06725243514361,0.430512858189808,0.510370500806792,NA,NA,"#BDBDBD","#BDBDBD",0,1
"depression",0.0440967283072546,1.25528686581318,39090.9173746279,0.936016699842573,292.973227050725,0.311449647601503,0.44621340080734,"depression",NA,"#F8766D","darkred",-3,1
"deprivation",0.182266009852217,2.0666957244011,17855.4119285012,0.00940149292710914,2.94266728618516,2.27048411054442,0.649635389172654,NA,NA,"#BDBDBD","#BDBDBD",0,1
"depth",0.188948306595365,2.31858216576227,27596.4727090336,0.813422587383217,254.601269850947,2.99403006085252,0.74027379890496,NA,NA,"#BDBDBD","#BDBDBD",0,1
"detection",0.110350076103501,1.55348570127881,174715.325589469,0.758173799299977,237.308399180893,0.735709739557725,0.332950771282915,"detection",NA,"#F8766D","darkred",-3,1
"disability",0.118279569892473,2.09195001453066,23954.8560001483,0.0976274442793087,30.5573900594236,1.30569642716303,0.588777306217794,NA,NA,"#BDBDBD","#BDBDBD",0,1
