"affect","social","cogproc","percept","bio","drives","relativ"
14.4824462569858,11.3029709789595,0,0,20.4940277221496,25.7854172359452,0
36.1665278060237,0,11.1748922463278,12.7165734004238,12.7165734004238,15.6916900105622,0
30.3825471926623,0,0,11.8849613254315,5.03173090897347,8.45834611720251,0
0,9.24219044961342,6.70562550271672,0,7.67412465733187,9.24219044961342,0
13.3465306090385,4.34803101359791,0,0,24.0536060770313,1.602526335635,0
26.453131583286,0,8.87724633167855,0,36.3791239993405,19.9316712158127,0
19.3327765404603,0,17.62713437268,0,11.8448403860431,23.7963994060876,0
4.44564477114206,0,0,11.7845987647073,24.46396280031,0,0
27.2001807792879,0,0,0,16.423798301966,12.3478710010653,0
27.9604260691637,0,0,0,21.9564933462973,14.2524924175362,0
50.2951880307319,0,0,0,0,20.0464503820751,0
16.6747927840078,0,6.15907267894497,20.5863386860855,20.5863386860855,6.21254777370598,0
19.9729589781946,22.3462401472873,8.52367527760198,10.5402450952189,10.5402450952189,17.0962545308095,0
47.1134246775683,0,3.84998583219839,0,8.58111751962926,14.7468533769641,0
29.1999242083324,0,21.034082565548,6.80988133867033,6.80988133867033,17.7260131214325,0
40.5696288476449,11.5353784019379,6.22018581710027,8.23035713503498,8.23035713503498,27.5414058496029,0
45.0628282143732,0,13.8626508244105,0,9.31859455931246,58.9254790387837,0
20.4212787649287,0,8.0468977570638,11.4914069327119,17.6085056801631,28.4681765219925,0
47.6628705499191,0,0,4.37749756270021,4.37749756270021,12.4671901950911,0
0,0,11.1716766098499,23.6719428557177,26.5391696369389,12.9441914072036,0
0,0,11.9918120383497,32.9450957430442,30.0828647956222,0,0
0,7.134239408274,11.2114690636391,24.7213336610865,26.2439870842327,0,0
0,0,8.70320541208456,19.7248831361132,20.8784585095287,0,10.4307643152463
0,0,9.22453671383209,17.248250462967,33.3884011142142,0,8.01045201291355
0,0,11.1804289589723,0,23.1916666509567,4.67153174586717,0
0,0,5.82059108624172,0,5.91263244336732,0,0
0,0,0,0,0,13.0747477467387,0
0,0,4.1110703484929,0,8.67482167663127,6.32618822868495,5.92340383434253
0,0,0,5.19208652301711,9.96987653209733,0,16.0828787647493
0,0,0,11.5638237538772,24.7434003393478,0,8.85739691786338
0,0,5.2276553691698,36.665505044201,18.3305206009276,0,0
0,0,7.06143371264286,24.7249065369715,19.4845874202958,0,0
39.4817590052081,0,0,0,8.03014255928356,8.22972535196952,0
20.1418782779943,0,0,0,18.6298182797195,0,0
14.7777757645805,0,0,0,9.7691336188274,6.10015804166145,0
0,0,18.2018680266007,0,0,0,0
0,0,17.1240960195879,0,0,0,0
0,0,16.7257613285063,0,0,0,6.1821089687035
0,0,11.0918972407745,2.98334422096612,5.86938948429406,0,4.78217939242411
0,0,7.57094834028729,0,0,0,15.9082573361315
0,0,12.1844815374297,15.4313365384013,0,5.62056926519537,0
20.8182178562162,8.22473845220557,0,9.64485717127199,3.74010914309114,0,0
49.0765214132001,0,12.8492125551729,0,0,57.5377566385121,0
50.2109555043432,0,8.07658216628257,0,0,36.5857117532352,0
33.3849793447522,0,0,13.8785081247763,36.050936352289,7.27167001608098,0
27.4438344276137,0,14.0810455641776,10.5772880061021,23.7981562684278,0,0
27.3608875227506,0,22.7013716319192,7.29220403842585,15.6346090114361,4.10974771367867,0
24.9105654207877,0,8.50370418332604,0,4.52811456259341,22.5677301692647,0
25.5709385333293,0,0,0,0,33.7749930467567,0
35.0879356174226,0,0,20.892089469778,20.892089469778,9.09114621000691,0
50.6557118028124,0,0,29.13572444304,29.13572444304,21.0883010179898,0
48.4694335964534,0,0,30.7368010533223,30.7368010533223,16.8774395837998,0
20.082616550021,0,0,25.3957089067014,41.0840434779552,0,10.3604808911153
11.7080129756868,5.41932207916532,0,11.7080129756868,17.1619559369592,5.41932207916532,7.61890212236998
3.95830935028824,3.95830935028824,11.490608977481,0,0,0,4.42232592736901
7.31423144732621,0,21.8178300878886,0,0,7.31423144732621,0
4.08324070295902,0,18.8403146149625,0,0,11.2014745817563,0
0,0,5.21482533780245,0,0,0,0
0,0,6.9462774629299,0,0,0,0
0,0,11.370019013791,0,0,0,0
0,0,19.9278869216411,0,0,0,0
16.783444569601,0,8.28756298762951,0,7.62835638117055,0,0
0,0,15.1244434278067,0,0,0,0
0,0,5.8804271957404,0,0,0,4.16571439160432
61.357404451338,0,0,0,10.065575774758,11.5078464604971,0
40.9220459886524,0,0,0,17.7659684270027,10.0888719474138,0
28.8888036384871,0,0,10.8370310695089,10.8370310695089,28.006604064455,0
29.7139047358629,0,0,9.80257637436548,9.80257637436548,26.8946488444608,0
43.1200214803544,0,9.39918937233893,19.2576491797829,27.4201838616051,20.5298487425042,0
31.8336461755045,0,3.0780736743313,42.6565799507273,50.3466315696856,3.79553320037541,0
32.8742585252666,0,0,38.9376935508627,43.8911510577018,0,0
50.0282043418256,0,0,16.3886394006441,16.3886394006441,0,0
16.778061402481,0,0,41.1256551050472,44.8191245255795,0,0
27.9775230760691,0,0,38.9100455045608,48.1535335417916,0,0
47.6503630634334,0,0,39.0865313868465,39.0865313868465,0,0
26.0793983756998,0,2.79396715588562,38.6590096013718,32.5388910694318,0,0
20.5682528321841,0,0,36.5466582631407,36.5466582631407,0,0
33.1019906668568,0,0,35.8644291605055,41.9905496553301,5.79326833861066,0
44.1408426644107,0,0,33.7069831572868,33.7069831572868,9.52237628272655,0
13.1883816637724,4.84097342817043,0,45.1768679972405,23.1890953207888,0,0
